Name,Value,Device,Package,QTY,MPN,Manufacturer,Comment
OUTPUT1 OUTPUT2 STATUS,,LEDCHIP-LED0805,CHIP-LED0805,3,SML-LXT0805GW-TR,Lumex,
JP3 JP4,,M03-SCREW-5MM,SCREWTERMINAL-5MM-3,2,1935174,Phoenix Contact,
DHT22,,RHT03_DHT-22_AM2302,RHT03_DHT-22,1,385,Adafruit, Adafruit Accessories DHT22 Temp/Humidity Sensor
R3 R6,2k,SMARTPRJ_R-EU_M0805,SMARTPRJ_M0805,2,CRCW08052K00FKEA,Vishay,
R1 R4 R7,300ohm,SMARTPRJ_R-EU_M0805,SMARTPRJ_M0805,3,CRCW0805300RJNEA,Vishay Dale,
C4 C6 C7,100n,C-EUC0805K,C0805K,3,08055C104KAT2A,AVX,
D1 D2,1N4942,1N4942,DO41-10,2,1N4942GP-E3/54,Vishay Semiconductor,
R8 R9 R10 R11 R12 R13 R14,1k,SMARTPRJ_R-EU_M0805,SMARTPRJ_M0805,7,CRCW08051K00FKEA,Vishay,
C1 C2,47uF,CAP_POLD,PANASONIC_D,2,EEE-1CA470SP,Panasonic,
T1 T2,BC847,BC847,SOT23,2,BC847ALT1G,ON Semiconductor,
ESP8266,ESP8266ESP-07,ESP8266ESP-07,ESP-12,1,2491,Adafruit,
JP2,GPIO,M06X2PTH_FEMALE,2X6,1,67997-112HLF,FCI,
IC3,LM1117-3.3,V_REG_LM1117SOT223,SOT223,1,LM1117MPX-3.3/NOPB,Texas Instruments,
JP1,M02PTH,M02PTH,1X02,1,640456-2,TE Connectivity,
RELAY1 RELAY2,RELAYPTH,RELAYPTH,SRD-05VDC-SL-C,2,G5LE-1-DC5,,
BTN1 BTN2,SMARTPRJ_TS42,SMARTPRJ_TS42,SMARTPRJ_TS42,2,1-1437565-8,TE Connectivity / AMP ,
H1 H2 H3 H4,MOUNT-HOLE3.6,MOUNT-HOLE3.6,3.6,,DUMMY,DUMMY,
LOGO1,OSHW-LOGOL,OSHW-LOGOL,OSHW-LOGO-L,,DUMMY,DUMMY,
R2 R5,Dummy,SMARTPRJ_R-EU_M0805,SMARTPRJ_M0805,,DUMMY,DUMMY,
