Name,Value,Device,Package,QTY,MPN,Manufacturer,(Might be helpful: links to some chinese sellers that sell this part for a low price)
OUTPUT1 OUTPUT2 STATUS,,LEDCHIP-LED0805,CHIP-LED0805,3,Generic 0805 led,Lumex,"Generic, use google"
JP3 JP4,,M03-SCREW-5MM,SCREWTERMINAL-5MM-3,2,Generic 5mm screwterminal block,,"http://www.aliexpress.com/item/Free-Shipping100PCS-3-Pin-Screw-Terminal-Block-Connector-5mm-Pitch-5-08-301-3P-301-3P/32356452890.html?ws_ab_test=searchweb201556_6,searchweb201644_1_505_506_503_504_10032_10020_502_10001_10002_10017_10005_10006_10003_10021_10004_10022_10018_10019,searchweb201560_2,searchweb1451318400_-1,searchweb1451318411_-1&btsid=a0143694-d8db-42f6-9644-26a73b19f489"
DHT22,,RHT03_DHT-22_AM2302,RHT03_DHT-22,1,,,"http://www.aliexpress.com/item/TELESKY-DHT22-digital-temperature-and-humidity-sensor-temperature-and-humidity-module-AM2302/32523460946.html?ws_ab_test=searchweb201556_6,searchweb201644_1_505_506_503_504_10032_10020_502_10001_10002_10017_10005_10006_10003_10021_10004_10022_10018_10019,searchweb201560_2,searchweb1451318400_-1,searchweb1451318411_-1&btsid=4bf3f8ee-f44c-4683-8d4a-b42d22e8c617"
R3 R6,2k,SMARTPRJ_R-EU_M0805,SMARTPRJ_M0805,2,Generic 0805 resistor,Vishay,"Generic, use google"
R1 R4 R7,300ohm,SMARTPRJ_R-EU_M0805,SMARTPRJ_M0805,3,Generic 0805 resistor,Vishay Dale,"Generic, use google"
C4 C6 C7,100n,C-EUC0805K,C0805K,3,Generic 0805 capacitor,AVX,"Generic, use google"
D1 D2,1N4007,1N4007,DO41-10,2,1N4007,,"http://www.aliexpress.com/item/100PCS-Original-1A-1000V-DO-41-Rectifier-Diode-IN4007-1N4007-A003/32422792238.html?ws_ab_test=searchweb201556_6,searchweb201644_1_505_506_503_504_10032_10020_502_10001_10002_10017_10005_10006_10003_10021_10004_10022_10018_10019,searchweb201560_2,searchweb1451318400_-1,searchweb1451318411_-1&btsid=fdd66c6a-5561-48d6-85f2-dc63d634f2e4"
R8 R9 R10 R11 R12 R13 R14,1k,SMARTPRJ_R-EU_M0805,SMARTPRJ_M0805,7,Generic 0805 resistor,,"Generic, use google"
C1 C2,47uF,CAP_POLD,PANASONIC_D,2,EEE-1CA470SP,Panasonic,
T1 T2,2N5551,2N5551,SOT23,2,MMBT5551LT1G/MMBT5551/2N5551,,http://www.aliexpress.com/item/Free-Shipping-100-PCS-MMBT5551LT1G-MMBT5551-SOT-23-2N5551-SMD-NPN-high-voltage-transistor/1640550753.html
ESP8266,ESP-07,ESP-07,ESP-7 or ESP-12,1,,AI-THINKER,"http://www.aliexpress.com/item/ESP8266-serial-WIFI-model-ESP-07-Authenticity-Guaranteed-ESP07-esp07/32251403471.html?ws_ab_test=searchweb201556_6,searchweb201644_1_505_506_503_504_10032_10020_502_10001_10002_10017_10005_10006_10003_10021_10004_10022_10018_10019,searchweb201560_2,searchweb1451318400_-1,searchweb1451318411_-1&btsid=93ab54f8-e431-47bc-8446-8dda0a8c9f1a"
JP2,GPIO,M06X2PTH_FEMALE,2X6,1,Generic 2.54mm header,,"Generic, use google"
IC3,LM1117-3.3,V_REG_LM1117SOT223,SOT223,1,LM1117MPX-3.3/NOPB,Texas Instruments,"http://www.aliexpress.com/item/New-20-PCS-Lot-AMS1117-3-3-LM1117-3-3-SOT-223-3-3V-Voltage-Regulator/32462086243.html?ws_ab_test=searchweb201556_6,searchweb201644_1_505_506_503_504_10032_10020_502_10001_10002_10017_10005_10006_10003_10021_10004_10022_10018_10019,searchweb201560_2,searchweb1451318400_-1,searchweb1451318411_-1&btsid=646616b2-7b97-4a12-aa71-33663a0a1f5b"
JP1,M02PTH,M02PTH,1X02,1,Generic 2.54mm header or screwterminal,,
RELAY1 RELAY2,RELAYPTH,RELAYPTH,SRD-05VDC-SL-C,2,SRD-05VDC-SL-C,,"http://www.aliexpress.com/item/10-PCS-High-Quality-5-Pins-RELAY-12V-DC-Coil-Power-Relay-PCB-SRD-12VDC-SL/32508148125.html?ws_ab_test=searchweb201556_6,searchweb201644_1_505_506_503_504_10032_10020_502_10001_10002_10017_10005_10006_10003_10021_10004_10022_10018_10019,searchweb201560_2,searchweb1451318400_-1,searchweb1451318411_-1&btsid=7680cce8-0e12-4887-930e-0b1a3b7b3ec6"
BTN1 BTN2,SMARTPRJ_TS42,SMARTPRJ_TS42,SMARTPRJ_TS42,2,,,"http://www.aliexpress.com/item/Free-Shipping-1000PCS-touch-switch-button-switch-micro-switch-button-switch-6-6-2-7MM-five/32365105439.html?ws_ab_test=searchweb201556_6,searchweb201644_1_505_506_503_504_10032_10020_502_10001_10002_10017_10005_10006_10003_10021_10004_10022_10018_10019,searchweb201560_2,searchweb1451318400_-1,searchweb1451318411_-1&btsid=8952d420-f9ca-49e1-a5dd-52f2ce639aed"
H1 H2 H3 H4,MOUNT-HOLE3.6,MOUNT-HOLE3.6,3.6,,DUMMY,DUMMY,(Works with M3 screws)
LOGO1,OSHW-LOGOL,OSHW-LOGOL,OSHW-LOGO-L,,DUMMY,DUMMY,
R2 R5,Dummy,SMARTPRJ_R-EU_M0805,SMARTPRJ_M0805,,DUMMY,DUMMY,DO NOT MOUNT UNLESS RELAY SWITCHES ON BEFORE BOOT COMPLETES
